ID,Firstname,Lastname,Sponsor,Notes,Citation
372,Dirk,Nowitzki,Panini,,https://www.forbes.com/profile/dirk-nowitzki/#3a86defb2060
372,Dirk,Nowitzki,ING-DiBa,"2003-2017, $500,000",http://www.sportspromedia.com/news/nba_star_dirk_nowitzki_renews_ing_diba_contract
373,Frank,Ntilikina,,,
374,Jusuf,Nurkic,,,
375,David,Nwaba,,,
376,Johnny,O'Bryant,,,
377,Royce,O'Neale,,,
378,Kyle,O'Quinn,,,
379,Semi,Ojeleye,,,
38,Malik,Beasley,,,
380,Emeka,Okafor,,,
381,Jahlil,Okafor,,,
382,Victor,Oladipo,WME,2018,https://bleacherreport.com/articles/2783746-victor-oladipo-signs-with-wme-for-representation-in-music-endorsements-more
383,Kelly,Olynyk,,,
384,Chinanu,Onuaku,,,
385,Cedi,Osman,,,
386,Kelly,Oubre,,,
387,Zaza,Pachulia,,,
388,Marcus,Paige,,,
389,Georgios,Papagiannis,,,
39,Michael,Beasley,,,
390,Jabari,Parker,,,
391,Tony,Parker,LDLC.com,2013,http://www.sportspromedia.com/news/tony_parker_signs_french_endorsement
391,Tony,Parker,Nike,before 2013,https://sgbonline.com/report-tony-parker-exiting-nike-for-peak-sports/
391,Tony,Parker,Peak,"2013-2016, $1.2m",https://sgbonline.com/report-tony-parker-exiting-nike-for-peak-sports/
392,Chandler,Parsons,Jordan Brand,2016,https://www.sportsbusinessdaily.com/Daily/Issues/2015/03/10/Marketing-and-Sponsorship/Anta-Parsons.aspx
392,Chandler,Parsons,Anta,"2013-2016, $3m",https://bleacherreport.com/articles/1892073-chandler-parsons-reportedly-ditches-nike-to-sign-with-chinese-brand-anta
392,Chandler,Parsons,Nike,before 2013,https://bleacherreport.com/articles/1892073-chandler-parsons-reportedly-ditches-nike-to-sign-with-chinese-brand-anta
393,Patrick,Patterson,,,
394,Justin,Patton,,,
395,Brandon,Paul,,,
396,Chris,Paul,Panini,,https://www.forbes.com/profile/chris-paul/#4808a82a64b2
396,Chris,Paul,Nike,,https://www.forbes.com/profile/chris-paul/#4808a82a64b2
396,Chris,Paul,Spalding,,https://www.forbes.com/profile/chris-paul/#4808a82a64b2
396,Chris,Paul,State Farm,,https://www.forbes.com/profile/chris-paul/#4808a82a64b2
396,Chris,Paul,Walt Disney,,https://www.forbes.com/profile/chris-paul/#4808a82a64b2
397,Adreian,Payne,,,
398,Cameron,Payne,,,
399,Elfrid,Payton,,,
4,Bam,Adebayo,,,
40,Marco,Belinelli,Nike,2011,https://www.sbnation.com/nba/2011/9/16/2428907/marco-belinelli-nike-back-to-the-future-shoes-cost
400,Gary,Payton,,,
401,Kendrick,Perkins,,,
402,London,Perrantes,,,
403,Alec,Peters,,,
404,Marshall,Plumlee,,,
405,Mason,Plumlee,,,
406,Miles,Plumlee,,,
407,Jakob,Poeltl,,,
408,Quincy,Pondexter,,,
409,Otto,Porter,,,
41,Jordan,Bell,,,
410,Bobby,Portis,,,
411,Kristaps,Porzingis,BodyArmor,2015,https://sponsorpitch.com/properties/kristaps-porzingis
411,Kristaps,Porzingis,Adidas,2016,https://sponsorpitch.com/properties/kristaps-porzingis
412,Dwight,Powell,,,
413,Norman,Powell,,,
414,Alex,Poythress,,,
415,Jacob,Pullen,,,
416,Rodney,Purvis,,,
417,Zhou,Qi,,,
418,Tim,Quarterman,,,
419,Ivan,Rabb,,,
42,DeAndre,Bembry,,,
420,Julius,Randle,Mountain Dew,2016,https://www.foxsports.com/nba/story/los-angeles-lakers-julius-randle-mountain-dew-endorsement-012016
421,Zach,Randolph,,,
422,Xavier,Rathan-Mayes,,,
423,J.J.,Redick,,,
424,Davon,Reed,,,
425,Willie,Reed,,,
426,Josh,Richardson,,,
427,Malachi,Richardson,,,
428,Austin,Rivers,,,
429,Andre,Roberson,,,
43,Dragan,Bender,,,
430,Devin,Robinson,,,
431,Glenn,Robinson,,,
432,Rajon,Rondo,Nike,before 2013,https://bleacherreport.com/articles/1775775-rajon-rondo-to-reportedly-leave-nike-for-chinese-company-anta?m=0
432,Rajon,Rondo,Anta,2013,https://bleacherreport.com/articles/1775775-rajon-rondo-to-reportedly-leave-nike-for-chinese-company-anta?m=0
433,Derrick,Rose,Adidas,"2012-2026, $185m",https://www.sbnation.com/2018/2/6/16980362/derrick-rose-adidas-contract-signature-shoe-endorsement-paying-brother-reggie-rose
434,Terrence,Ross,,,
435,Terry,Rozier,,,
436,Ricky,Rubio,Adidas,2012,https://minnesota.sbnation.com/minnesota-timberwolves/2012/5/11/3013937/ricky-rubio-adidas-shoes-contract
437,DAngelo,Russell,New Era,2017,https://sponsorpitch.com/properties/d-angelo-russell
438,Domantas,Sabonis,,,
439,JaKarr,Sampson,,,
44,Davis,Bertans,,,
440,Dario,Saric,,,
441,Tomas,Satoransky,,,
442,Dennis,Schroder,,,
443,Mike,Scott,,,
444,Thabo,Sefolosha,,,
445,Wayne,Selden,,,
446,Ramon,Sessions,,,
447,Iman,Shumpert,,,
448,Pascal,Siakam,,,
449,Xavier,Silas,,,
45,Patrick,Beverley,,,
450,Ben,Simmons,,,
451,Jonathon,Simmons,,,
452,Kobi,Simmons,,,
453,Kyle,Singler,,,
454,Marcus,Smart,,,
455,Dennis,Smith,,,
456,Ish,Smith,,,
457,J.R.,Smith,,,
458,Jason,Smith,,,
459,Josh,Smith,,,
46,Khem,Birch,,,
460,Tony,Snell,,,
461,Marreese,Speights,,,
462,Nik,Stauskas,,,
463,Lance,Stephenson,Nike,,
464,David,Stockton,,,
468,Jayson,Tatum,Nike,Kyrie 3 with JT logo,
469,Jayson,Tatum,Nike Jordan Brand,summer of 2019 ~ ?,
470,Jayson,Tatum,Imo's Pizza,2017/8/21 ~ ?,
471,Jayson,Tatum,Gatorade,commercials,
472,Jayson,Tatum,Honey Dew Donuts,commercials,
473,Jayson,Tatum,Abercrombie & Fitch,2019/2 ~ ?,
477,Isaiah,Thomas,Nike,,
