GamesPlayed,PPG,APG,RPG,MPG,PER,FG,FT,PlayerID
35,9.3,1.9,1.6,15.4,0.522,3.3,1.3,445
13,3.7,2.1,1.4,8.2,0.34,1.3,0.9,446
14,4.4,1.2,2.9,8.2,0.44,1.6,0.8,447
81,7.3,2,4.5,12.2,0.537,3.1,0.7,448
2,0,0,1,3,0,0,0,449
77,5.9,1,2,9.6,0.568,2.1,0.5,44
81,15.8,8.2,8.1,24.6,0.545,6.7,2.4,450
69,13.9,2.5,3.5,22,0.511,5.1,2.7,451
32,6.1,2.1,1.6,11.8,0.452,2.5,0.8,452
12,1.9,0.2,0.8,3.6,0.381,0.6,0.6,453
54,10.2,4.8,3.5,19,0.44,3.5,1.8,454
69,15.2,5.2,3.8,29.6,0.446,5.9,1.9,455
82,10.9,4.4,2.7,19.6,0.507,4.7,1,456
80,8.3,1.8,2.9,14.8,0.524,3,0.5,457
33,3.4,0.4,1.6,7,0.409,1.4,0.6,458
3,0.7,0,1.3,2.6,0.25,0.3,0,459
11,12.2,2.9,4.1,21.6,0.504,4.4,1.3,45
75,6.9,1.3,1.9,11.4,0.562,2.5,0.5,460
52,7.7,0.8,2.6,13.4,0.519,2.7,0.8,461
35,5.1,1.1,1.8,8.6,0.527,1.7,0.5,462
82,9.2,2.9,5.2,17.2,0.475,3.7,1,463
3,3.3,0,0,2,1,0.7,1.3,464
23,0.8,1.1,1.3,1.2,0.692,0.3,0,465
1,2,0,1,2,1,1,0,466
27,2.3,0.5,2,4.4,0.408,0.9,0.4,467
80,13.9,1.6,5,20.8,0.538,5,2.7,468
67,6.6,3.1,1.4,11.6,0.444,2.4,1.5,469
42,4.2,0.8,4.3,6,0.54,1.6,1,46
70,14.2,7,3,22.6,0.499,5.1,2.9,470
3,3.7,4.3,2,10.6,0.281,1.3,0.7,471
10,7.1,1,2.3,11.4,0.623,2.5,0,472
65,8.4,1.9,2.3,14.6,0.512,3.1,0.9,473
45,9.5,4.6,2.8,16,0.542,3.4,0.9,474
51,3.3,1.2,0.9,6,0.513,1.2,0.2,475
63,5.3,0.9,4.3,7.4,0.579,2,1,476
15,14.7,4.5,2.1,25.8,0.418,4.7,3.9,477
73,4.1,0.6,2.4,7.4,0.476,1.4,0.6,478
73,20,2.5,3.8,32.4,0.585,7.9,1.1,479
13,3,0.6,1.5,4,0.635,1.2,0.5,47
53,5.8,0.6,6.6,8.8,0.562,2.5,0.8,480
73,3.9,0.9,1.9,6.4,0.479,1.4,0.8,481
79,8.9,1.1,3.1,12,0.632,2.8,1.3,482
82,21.3,2.4,12.3,28.6,0.596,7.8,4.2,483
82,6.1,0.9,5.6,10.8,0.52,2.1,0.5,484
79,8.2,2.2,3.1,14.6,0.484,3.3,1.2,485
65,12.7,1.3,6.4,19.6,0.523,4.7,2.5,486
63,2.6,0.8,2.4,3.8,0.5,1,0.7,487
71,7.8,4.4,1.8,15.6,0.426,3,1.2,488
77,12.7,1.1,8.6,17.8,0.59,5.1,2.2,489
82,5.7,0.8,5.7,8.6,0.52,2.2,1.2,48
77,10.2,3.2,5.1,18.8,0.517,3.9,0.5,490
76,8.6,3.2,2.4,14.4,0.525,3.1,1.1,491
1,0,1,0,0,0,0,0,492
21,6.9,1,6.9,13.2,0.478,2.7,0.6,493
57,16.5,3.4,9.2,29.4,0.513,7,1.4,494
46,11.2,3.5,3.9,19,0.482,4.3,2,495
30,14.3,3.8,2.6,27.4,0.461,5.4,1.7,496
80,22.1,5.6,3.1,34,0.516,7.4,4.5,497
41,19.4,9.6,3.7,32.6,0.466,6.8,4.3,498
30,9.7,2.4,3.5,16.4,0.466,3.7,2,499
67,6.8,1.3,4.1,11,0.563,2.6,0.5,49
69,6.9,1.5,5.5,9.8,0.512,2.5,1.9,4
82,14.1,2.6,4.7,23.8,0.516,5.1,1.9,500
16,1.8,1,1,3.2,0.46,0.5,0.4,501
3,5.7,0,3,8,0.583,2.3,1,502
65,19.6,1.3,5.1,32.8,0.507,8.1,3,503
17,4.4,0.4,2.2,8.4,0.465,1.5,0.5,504
10,1.6,0.4,2.4,4.8,0.333,0.6,0,505
13,2,1,1.4,3.4,0.5,0.7,0.3,506
73,6.8,1.9,3.3,10.4,0.575,3,0.8,507
80,25.4,10.3,10.1,42.2,0.477,9.5,5.2,508
15,4.6,0.4,2.3,9.8,0.466,1.7,0.1,509
51,3.5,0.3,3.2,5,0.594,1.5,0.6,50
17,3.2,0.5,1.5,3.8,0.606,0.9,0.8,510
6,3.3,0.3,1.8,5.4,0.563,1.2,0.3,511
16,6.3,1.3,1.6,10.8,0.506,2.5,0.8,512
54,14,1,11.4,21.4,0.542,5.8,2.4,513
82,17.7,2,4.4,31.8,0.481,6.9,2.5,514
5,0.8,0.4,2.2,1.6,0.375,0.2,0.2,515
19,1.7,0.5,0.8,4.2,0.385,0.7,0.2,516
5,4,1.6,4.4,7.2,0.389,1.4,1.2,517
